a,b,c
284993413919539/281474976710656,41,2885998120586445/70368744177664
577023702256845/281474976710656,42,2959005692670771/70368744177664
876090865011917/281474976710656,43,3033772483359539/70368744177664
1182194902184755/281474976710656,44,3110298492652749/70368744177664
85/16,45,725/16
1815513599783731/281474976710656,46,3268628167052493/70368744177664
2142728260209869/281474976710656,47,3350431832159027/70368744177664
2476979795053773/281474976710656,48,3433994715870003/70368744177664
2818268204315443/281474976710656,49,3519316818185421/70368744177664
45/4,50,205/4
880488911523021/70368744177664,51,3695238678629581/70368744177664
971088669651763/70368744177664,52,3785838436758323/70368744177664
1063447646384947/70368744177664,53,3878197413491507/70368744177664
1157565841722573/70368744177664,54,3972315608829133/70368744177664
285/16,55,925/16
1351079888211149/70368744177664,56,4165829655317709/70368744177664
1450475739362099/70368744177664,57,4265225506468659/70368744177664
1551630809117491/70368744177664,58,4366380576224051/70368744177664
1654545097477325/70368744177664,59,4469294864583885/70368744177664
25,60,65
1865651330010317/70368744177664,61,4680401097116877/70368744177664
1973843274183475/70368744177664,62,4788593041290035/70368744177664
2083794436961075/70368744177664,63,4898544204067635/70368744177664
2195504818343117/70368744177664,64,5010254585449677/70368744177664
525/16,65,1165/16
2424203236920525/70368744177664,66,5238953004027085/70368744177664
2541191274115891/70368744177664,67,5355941041222451/70368744177664
2659938529915699/70368744177664,68,5474688297022259/70368744177664
2780445004319949/70368744177664,69,5595194771426509/70368744177664
165/4,70,325/4
3026735608941773/70368744177664,71,5841485376048333/70368744177664
3152519739159347/70368744177664,72,5967269506265907/70368744177664
3280063087981363/70368744177664,73,6094812855087923/70368744177664
3409365655407821/70368744177664,74,6224115422514381/70368744177664
805/16,75,1445/16
3673248446074061/70368744177664,76,6487998213180621/70368744177664
3807828669313843/70368744177664,77,6622578436420403/70368744177664
3944168111158067/70368744177664,78,6758917878264627/70368744177664
4082266771606733/70368744177664,79,6897016538713293/70368744177664
60,80,100
4363741748317389/70368744177664,81,7178491515423949/70368744177664
4507118064579379/70368744177664,82,7321867831685939/70368744177664
4652253599445811/70368744177664,83,7467003366552371/70368744177664
4799148352916685/70368744177664,84,7613898120023245/70368744177664
1125/16,85,1765/16
5098215515671757/70368744177664,86,7912965282778317/70368744177664
5250387924955955/70368744177664,87,8065137692062515/70368744177664
5404319552844595/70368744177664,88,8219069319951155/70368744177664
5560010399337677/70368744177664,89,8374760166444237/70368744177664
325/4,90,485/4
5876669748137165/70368744177664,91,8691419515243725/70368744177664
6037638250443571/70368744177664,92,8852388017550131/70368744177664
6200365971354419/70368744177664,93,2253778934615245/17592186044416
6364852910869709/70368744177664,94,2294900669494067/17592186044416
1485/16,95,2125/16
6699104445713613/70368744177664,96,2378463553205043/17592186044416
6868869041042227/70368744177664,97,2420904702037197/17592186044416
7040392854975283/70368744177664,98,2463785655520461/17592186044416
7213675887512781/70368744177664,99,2507106413654835/17592186044416
105,100,145
