a,b,c,k,b^2/k
1.008928571428573,57,57.00892857142857,56,58.017857142857146
2.0357142857142847,58,58.035714285714285,56,60.07142857142857
3.0803571428571423,59,59.08035714285714,56,62.160714285714285
4.142857142857146,60,60.142857142857146,56,64.28571428571429
5.223214285714285,61,61.223214285714285,56,66.44642857142857
6.321428571428569,62,62.32142857142857,56,68.64285714285714
7.4375,63,63.4375,56,70.875
8.57142857142857,64,64.57142857142857,56,73.14285714285714
9.723214285714285,65,65.72321428571428,56,75.44642857142857
10.892857142857146,66,66.89285714285714,56,77.78571428571429
12.080357142857146,67,68.08035714285714,56,80.16071428571429
13.285714285714285,68,69.28571428571428,56,82.57142857142857
14.50892857142857,69,70.50892857142857,56,85.01785714285714
15.75,70,71.75,56,87.5
17.00892857142857,71,73.00892857142857,56,90.01785714285714
18.285714285714285,72,74.28571428571428,56,92.57142857142857
19.580357142857146,73,75.58035714285714,56,95.16071428571429
20.892857142857146,74,76.89285714285714,56,97.78571428571429
22.223214285714285,75,78.22321428571428,56,100.44642857142857
23.57142857142857,76,79.57142857142857,56,103.14285714285714
24.9375,77,80.9375,56,105.875
26.32142857142857,78,82.32142857142857,56,108.64285714285714
27.723214285714285,79,83.72321428571428,56,111.44642857142857
29.142857142857146,80,85.14285714285714,56,114.28571428571429
30.580357142857146,81,86.58035714285714,56,117.16071428571429
32.035714285714285,82,88.03571428571428,56,120.07142857142857
33.50892857142857,83,89.50892857142857,56,123.01785714285714
35.0,84,91.0,56,126.0
36.50892857142857,85,92.50892857142857,56,129.01785714285714
38.03571428571429,86,94.03571428571429,56,132.07142857142858
39.58035714285714,87,95.58035714285714,56,135.16071428571428
41.14285714285714,88,97.14285714285714,56,138.28571428571428
42.72321428571429,89,98.72321428571429,56,141.44642857142858
44.32142857142857,90,100.32142857142857,56,144.64285714285714
45.9375,91,101.9375,56,147.875
47.57142857142857,92,103.57142857142857,56,151.14285714285714
49.22321428571429,93,105.22321428571429,56,154.44642857142858
50.89285714285714,94,106.89285714285714,56,157.78571428571428
52.58035714285714,95,108.58035714285714,56,161.16071428571428
54.28571428571429,96,110.28571428571429,56,164.57142857142858
56.00892857142857,97,112.00892857142857,56,168.01785714285714
57.75,98,113.75,56,171.5
59.50892857142857,99,115.50892857142857,56,175.01785714285714
61.28571428571429,100,117.28571428571429,56,178.57142857142858
